A	B-NEU
Pairwise	I-NEU
Event	I-NEU
Coreference	I-NEU
Model	I-NEU
Feature	O
Impact	O
and	O
Evaluation O
for O
Event O
Coreference O
Resolution O

In	O
this	O
paper	O
,	O
we	O
address	O
the	O
task	O
of	O
event	O
coreference	O
resolution	O
specified	O
in	O
the	O
Automatic	O
Content	O
Extraction O
( O
ACE	O
)	O
program O
:	O
grouping	O
all	O
the	O
mentions	O
of	O
events	O
in	O
a	O
document	O
into	O
equivalent	O
classes	O
so	O
that	O
all	O
the	O
mentions	O
in	O
a	O
given	O
class	O
refer	O
to	O
a	O
unified	O
event	O
.	O

We	O
adopt	O
the	O
following	O
terminologies	O
used	O
in	O
ACE	O
[1] O
:	O

	O
Entity:	O
an	O
object	O
or	O
set	O
of	O
objects	O
in	O
the	O
world	O
,	O
such	O
as	O
person	O
,	O
organization	O
,	O
facility O
. O

	O
Event O
:	O
a	O
specific	O
occurrence	O
involving	O
participants O

.	O
Event	O
trigger O
:	O
the	O
word	O
that	O
most	O
clearly	O
expresses	O
an	O
event’s	O
occurrence	O
.	O

	O
Event	O
argument O
:	O
an	O
entity	O
,	O
or	O
a	O
temporal	O
expression	O
or	O
a	O
value	O
that	O
has	O
a	O
certain	O
role	O
(	O
e.g.	O
,	O
PLACE	O
)	O
in	O
an	O
event	O
.	O

	O
Event	O
mention O
:	O
a	O
sentence	O
or	O
phrase	O
that	O
mentions	O
an	O
event	O
,	O
including	O
a	O
distinguished	O
trigger	O
and	O
involving	O
arguments	O
.	O

An	O
event	O
is	O
a	O
cluster	O
of	O
event	O
mentions	O
.	O

	O
Event	O
attributes O
:	O
an	O
event	O
has	O
six	O
event	O
attributes	O
,	O
event	O
type	O
,	O
subtype	O
,	O
polarity	O
,	O
modality	O
,	O
genericity	O
,	O
and	O
tense	O
.	O

We	O
demonstrate	O
some	O
motivating	O
examples	O
in	O
table	O
1 O
( O
event	O
triggers	O
are	O
surrounded	O
by	O
curly	O
brackets	O
and	O
event	O
arguments	O
are	O
underlined	O
)	O
.	O

In	O
example	O
1 O
, O
event	O
mention	O
EM1	O
corefers	O
with	O
EM2	O
because	O
they	O
have	O
the	O
same	O
event	O
type	O
and	O
subtype	O
( O
CONFLICT O
:	O
ATTACK	O
)	O
indicated	O
by	O
two	O
verb	O
triggers O
“ O
tore O
”	O
and	O
“ O
exploded O
”	O
respectively	O
,	O
and	O
the	O
argument	O
“ O
a	O
waiting	O
shed O
”	O
in	O
EM1	O
corefers	O
with	O
“ O
the	O
waiting	O
shed O
”	O
in	O
EM2 O
.	O

In	O
example	O
2	O
,	O
EM1	O
,	O
EM2	O
and	O
EM3	O
corefer	O
with	O
each	O
other	O
because	O
they	O
have	O
the	O
same	O
event	O
type	O
and	O
subtype O
( O
LIFE O
: O
MARRY	O
)	O
indicated	O
by	O
a	O
verb	O
trigger	O
“ O
wed O
”	O
and	O
two	O
noun	O
triggers	O
“ O
ceremony O
”	O
and	O
“ O
nuptials O
”	O
respectively	O
.	O

Furthermore	O
,	O
the	O
two	O
persons	O
“ O
Rudolph	O
Giuliani O
”	O
and O
“ O
Judith	O
Nathan O
”	O
involving	O
in	O
the	O
“ O
Marry O
”	O
event	O
in	O
EM1	O
corefer	O
with	O
“ O
Giuliani O
”	O
and	O
“ O
Nathan O
”	O
in	O
EM3	O
respectively	O
.	O

In	O
example	O
3	O
,	O
EM1	O
does	O
not	O
corefer	O
with	O
EM2	O
although	O
they	O
have	O
the	O
same	O
event	O
type	O
and	O
subtype	O
(	O
LIFE O
: O
DIE O
) O
because	O
the	O
event	O
attribute	O
“ O
polarity O
”	O
of	O
EM1	O
is O
“ O
POSITIVE O
”	O
(	O
occurred	O
)	O
while	O
in	O
EM2	O
,	O
it	O
is	O
“ O
NEGATIVE O
” O
( O
not	O
occurred	O
)	O
.	O

The	O
major	O
contributions	O
of	O
this	O
paper	O
are O
:	O

(1)	O
A	O
formal	O
statement	O
of	O
event	B-NEU
coreference	I-NEU
resolution	I-NEU
and	O
an	B-NEU
algorithm	I-NEU
for	O
the	O
task	O
.	O

(2)	O
A	B-NEU
close	I-NEU
study	I-NEU
of	O
four	O
event	O
attributes O
:	O
polarity	B-NEU
, O
modality	B-NEU
, O
genericity	B-NEU
and	O
tense	B-NEU
. O

(3)	O
A	B-NEU
close	I-NEU
study	I-NEU
of	O
feature	O
impact	O
on	O
the	O
performance	O
of	O
the	B-NEU
pairwise	I-NEU
event	I-NEU
coreference	I-NEU
model	I-NEU
. O
